,maze,run,trial,start_loc,goal_loc,cue,CWhead,CCWhead,feedbackType,goalError,pathDistance,shPathError,startNavTime,endNavTime,navTime,arrowsDispTime,selectTime,selectChoice,selectHead,RT,subID,mazeOrder,landmarkID,goalLM
60,1.0,7,1,5,4,cue8,217.757113597,37.7571135965,correct,2.6488068890000003,20.0,2.632291517,7120.101,7130.501,10.4,7114.555,7120.101,UP_SELECTION,217.7571136,5.546,HSR02,1,4,landmark8B
61,1.0,7,2,4,2,cue13,265.99410223900003,85.99410223870001,incorrect,21.29130139,47.8,-4.378389014,7138.5109999999995,7166.555,28.044,7137.475,7138.5109999999995,UP_SELECTION,265.9941022,1.036,HSR02,1,2,landmark7B
62,1.0,7,3,2,3,cue9,80.0089957311,260.00899573099997,incorrect,32.37386875,15.9,-9.95132649,7190.201999999999,7200.611999999999,10.41,7180.0019999999995,7190.201999999999,UP_SELECTION,80.00899573,10.2,HSR02,1,3,landmark1B
63,1.0,7,4,3,4,cue8,-38.0101345438,141.989865456,incorrect,5.823800478,51.9,25.57286404,7221.471,7257.161,35.69,7214.031999999999,7221.471,UP_SELECTION,-38.01013454,7.439,HSR02,1,4,landmark11B
64,1.0,7,5,4,1,cue3,265.99410223900003,85.99410223870001,incorrect,16.41804525,24.9,-15.08153557,7280.196,7304.981,24.785,7270.621999999999,7280.196,DOWN_SELECTION,85.99410224,9.574,HSR02,1,1,landmark4B
65,1.0,7,6,1,3,cue9,107.54615843799999,-72.4538415622,tooLong,0.891289205,67.2,21.42970245,7320.571999999999,7344.976,24.404,7318.411999999999,7320.571999999999,UP_SELECTION,107.54615840000001,2.16,HSR02,1,3,landmark1B
66,1.0,7,7,3,2,cue13,-38.0101345438,141.989865456,correct,1.750609694,24.1,-1.75132649,7354.941,7364.063,9.122,7351.951999999999,7354.941,UP_SELECTION,-38.01013454,2.989,HSR02,1,2,landmark7B
67,1.0,7,8,2,4,cue8,80.0089957311,260.00899573099997,incorrect,4.277242681000001,47.9,-4.278389014,7372.052,7389.701999999999,17.65,7370.991999999999,7372.052,DOWN_SELECTION,260.0089957,1.06,HSR02,1,4,landmark8B
68,1.0,7,9,4,5,cue18,265.99410223900003,85.99410223870001,correct,1.031544805,18.4,1.032291517,7408.102,7415.435,7.332999999999999,7403.172,7408.102,DOWN_SELECTION,85.99410224,4.93,HSR02,1,5,landmark1B
69,1.0,7,10,5,1,cue3,217.757113597,37.7571135965,correct,1.5858470390000001,24.2,1.586190653,7423.081999999999,7431.991999999999,8.91,7422.392,7423.081999999999,UP_SELECTION,37.7571136,0.69,HSR02,1,1,landmark4B
70,1.0,8,1,1,4,cue8,107.54615843799999,-72.4538415622,correct,2.337606346,44.7,4.718464429,7468.592,7501.941999999999,33.35,7464.7519999999995,7468.592,UP_SELECTION,107.54615840000001,3.84,HSR02,1,4,landmark7B
71,1.0,8,2,4,3,cue9,265.99410223900003,85.99410223870001,correct,0.07287584,26.4,0.072864044,7509.7119999999995,7520.945,11.232999999999999,7508.9259999999995,7509.7119999999995,UP_SELECTION,265.9941022,0.7859999999999999,HSR02,1,3,landmark11B
72,1.0,8,3,3,5,cue18,-38.0101345438,141.989865456,incorrect,34.64285162,24.3,-19.3948632,7537.472,7546.5019999999995,9.03,7527.911999999999,7537.472,UP_SELECTION,-38.01013454,9.56,HSR02,1,5,landmark1B
73,1.0,8,4,5,2,cue13,217.757113597,37.7571135965,incorrect,20.06728711,78.9,36.36717675,7561.201999999999,7602.884,41.681999999999995,7559.951999999999,7561.201999999999,DOWN_SELECTION,37.7571136,1.25,HSR02,1,2,landmark8B
74,1.0,8,5,2,1,cue3,80.0089957311,260.00899573099997,correct,3.017177955,16.9,-3.0190283160000004,7619.882,7628.2919999999995,8.41,7616.326,7619.882,UP_SELECTION,80.00899573,3.556,HSR02,1,1,landmark4B
75,1.0,8,6,1,5,cue18,107.54615843799999,-72.4538415622,tooLong,0.234776183,89.7,67.08619065,7636.291,7671.095,34.804,7635.255999999999,7636.291,DOWN_SELECTION,-72.45384156,1.035,HSR02,1,5,landmark11B
76,1.0,8,7,5,3,cue9,217.757113597,37.7571135965,correct,0.20512461,43.9,0.205136795,7679.661999999999,7695.191999999999,15.53,7678.036,7679.661999999999,DOWN_SELECTION,217.7571136,1.626,HSR02,1,3,landmark7B
77,1.0,8,8,3,1,cue3,-38.0101345438,141.989865456,incorrect,17.97722288,87.4,41.62970245,7702.763000000001,7737.5019999999995,34.739000000000004,7702.151999999999,7702.763000000001,UP_SELECTION,-38.01013454,0.611000000002,HSR02,1,1,landmark4B
78,1.0,8,9,1,2,cue13,107.54615843799999,-72.4538415622,correct,1.6187751769999998,18.3,-1.6190283159999999,7753.941999999999,7762.821999999999,8.88,7750.983,7753.941999999999,DOWN_SELECTION,-72.45384156,2.9589999999999996,HSR02,1,2,landmark8B
79,1.0,8,10,2,5,cue18,80.0089957311,260.00899573099997,incorrect,42.60739589,20.7,-21.83282325,7771.2519999999995,7793.7119999999995,22.46,7769.803000000001,7771.2519999999995,UP_SELECTION,260.0089957,1.449,HSR02,1,5,landmark11B
80,1.0,9,1,2,3,cue9,80.0089957311,260.00899573099997,incorrect,5.6890262179999995,29.7,3.84867351,8332.723,8352.483,19.76,8326.302,8332.723,UP_SELECTION,80.00899573,6.421,HSR02,1,3,landmark1B
81,1.0,9,2,3,5,cue18,-38.0101345438,141.989865456,incorrect,21.48995785,41.9,-1.794863205,8368.209,8383.093,14.884,8365.96,8368.209,UP_SELECTION,-38.01013454,2.249,HSR02,1,5,landmark8B
82,1.0,9,3,5,4,cue8,217.757113597,37.7571135965,correct,3.431318451,20.8,3.432291517,8404.949,8423.909,18.96,8396.559000000001,8398.208,DOWN_SELECTION,37.7571136,1.649,HSR02,1,4,landmark11B
83,1.0,9,4,4,2,cue13,265.99410223900003,85.99410223870001,correct,0.8005207390000001,59.1,6.921610986,8433.479,8459.409,25.93,8430.908000000001,8433.479,DOWN_SELECTION,85.99410224,2.571,HSR02,1,2,landmark7B
84,1.0,9,5,2,5,cue18,80.0089957311,260.00899573099997,incorrect,20.15635578,134.0,91.46717675,8467.249,8521.019,53.77,8466.399,8467.249,UP_SELECTION,260.0089957,0.85,HSR02,1,5,landmark8B
