subID,run,trial,startID,goalID,cue,feedbackType,goalError,pathDistance,shPathError,RT,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,switchCorrect,trackDirCorrect,locCorrect
HSR33,11,8,11,13,cue7,tooLong,0.157095602,57.1,15.04281975,0.96,within,1,2,1,1,1
HSR33,11,9,13,10,cue4,incorrect,54.77118126,45.3,-28.17017907,2.164,across,3,3,0,0,0
HSR33,11,10,10,7,cue18,incorrect,24.04238926,39.7,-7.17558087,1.32,within,1,2,1,0,0
HSR33,12,1,7,13,cue7,tooLong,0.356529018,147.1,96.26152982,1.176,across,3,3,0,0,1
HSR33,12,2,13,10,cue4,incorrect,33.62835142,179.8,106.3298209,1.926,across,3,3,0,0,0
HSR33,12,3,10,8,cue14,correct,1.931277432,43,-1.933608634,1.037,within,1,2,1,1,1
HSR33,12,4,8,2,cue9,incorrect,36.20466327,16.2,-48.68482076,1.331,across,3,3,0,0,0
HSR33,12,5,2,4,cue10,incorrect,25.23339578,21.1,-25.66983098,1.18,within,1,2,1,0,0
HSR33,12,6,4,1,cue20,incorrect,37.9290489,44.5,1.024465608,1.15,within,1,2,0,0,0
HSR33,12,7,1,15,cue3,tooLong,1.333464971,203,112.7132764,1.051,across,2,4,0,0,1
HSR33,12,8,15,12,cue11,incorrect,24.62804045,17.3,-27.13481826,1.76,within,1,2,1,0,0
HSR33,12,9,12,5,cue2,incorrect,23.15936413,42.5,-12.04715814,1.673,across,3,3,1,1,0
HSR33,12,10,5,11,cue17,tooLong,1.379878572,58.2,13.06175235,0.96,across,3,2,1,1,1
