1,run,trial,startID,goalID,cue,feedbackType,goalError,pathDistance,shPathError,RT,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,switchCorrect,trackDirCorrect,locCorrect
HSR13,6,6,2,8,cue20,tooLong,0.013089695,90.4,23.73067359,2.9,across,3,3,0,0,1
HSR13,6,7,8,3,cue9,tooLong,1.611530254,113.9,70.9533362,2.956,across,3,2,0,0,1
HSR13,6,8,3,1,cue13,tooLong,2.212021454,113.4,67.22221058,2.19,within,1,2,0,0,1
HSR13,6,9,1,11,cue4,tooLong,2.189613227,130.3,60.85736609,1.92,across,3,3,0,0,1
HSR13,6,10,11,14,cue11,tooLong,1.933018594,67.9,25.6547063,1.301,within,1,2,1,0,1
HSR16,5,1,13,10,cue13,correct,1.202067217,73.4,-1.061680882,1.41999984,across,3,3,1,1,1
HSR16,5,2,10,7,cue11,tooLong,3.224600154,92.2,44.61354999,1.52999997,within,1,2,0,0,1
HSR16,5,3,7,9,cue12,correct,0.325498286,41.8,0.325511582,2.80799985,within,1,2,1,1,1
HSR16,5,4,9,4,cue2,tooLong,1.35946364,80.6,8.305442202,5.44400001,across,2,3,0,0,1
HSR16,5,5,4,11,cue22,correct,3.033573907,55.3,0.987342884,1.26999998,across,2,3,1,1,1
HSR16,5,6,11,10,cue13,correct,1.721168957,57.45,3.538000651,1.54999996,across,2,2,1,1,1
HSR16,5,7,10,13,cue17,tooLong,0.944798813,89.6,16.11261912,2.273,across,3,3,0,0,1
HSR16,5,8,13,6,cue19,correct,0.163280527,47.4,-0.060376286,0.79999996,across,3,2,1,1,1
HSR16,5,9,6,14,cue20,correct,2.205185189,69,-1.128953036,5.30999994,across,3,3,1,1,1
HSR16,5,10,14,12,cue4,correct,2.637997316,47.2,2.638533893,4.2900002,within,1,2,1,1,1
HSR16,6,1,12,15,cue14,correct,1.274206857,46.6,1.238451025,0.9599998,within,1,2,1,1,1
HSR16,6,2,15,1,cue5,correct,3.618738909,86.5,-3.622920218,1.92000008,across,3,4,1,1,1
HSR16,6,3,1,3,cue3,correct,3.598150128,40.1,-3.615012664,2.59599995,within,1,2,1,1,1
HSR16,6,4,3,5,cue15,correct,0.502867422,45.7,-0.50283853,5.5769999,within,1,2,1,1,1
HSR16,6,5,5,8,cue10,correct,1.323163331,47.6,2.244963087,1.95099998,across,2,2,1,1,1
HSR16,6,6,8,2,cue6,correct,0.550308006,69.9,4.930071455,2.14999986,across,3,3,1,1,1
HSR16,6,7,2,7,cue11,correct,2.749847363,68.4,-1.829441466,2.72000003,across,2,3,1,1,1
HSR16,6,8,7,3,cue3,correct,0.151909952,55.6,4.005595249,3.58800006,across,3,3,1,1,1
HSR16,6,9,3,9,cue12,correct,0.122571299,65.5,0.057128959,3.68599987,across,3,3,1,1,1
HSR16,6,10,9,2,cue6,tooLong,2.804463214,107.1,21.28048617,3.1559999,across,3,4,1,1,1
HSR18,5,1,9,7,cue9,correct,0.313333482,48.7,-0.090476042,3.38000012,within,1,2,1,1,1
HSR18,5,2,7,3,cue15,correct,0.065898631,53.8,2.878419695,13.57000017,across,3,3,1,1,1
HSR18,5,3,3,5,cue21,correct,0.362076139,46.3,0.362123741,3.45000004,within,1,2,1,1,1
HSR18,5,4,5,13,cue19,correct,0.229678408,48,1.20399687,0.82999993,across,2,2,1,1,1
HSR18,5,5,13,15,cue17,correct,0.320564589,42.8,0.320622159,1.62899995,within,1,2,1,1,1
HSR18,5,6,15,10,cue10,correct,0.006254282,80.3,5.02543164,0.76399994,across,2,3,1,1,1
HSR18,5,7,10,7,cue9,correct,0.359200602,46.5,-0.359220225,4.21000004,within,1,2,1,1,1
HSR18,5,8,7,4,cue2,correct,0.292918089,31.1,5.352115179,0.85899997,across,2,2,1,1,1
HSR18,5,9,4,11,cue3,correct,0.257462978,54.1,3.263531929,3.40999984,across,2,3,1,1,1
HSR18,5,10,11,1,cue4,correct,0.121208102,69.1,-0.121181995,3.44000006,across,3,3,1,1,1
HSR18,6,1,1,12,cue7,correct,1.011231506,65.2,-0.786164596,11.64999986,across,2,3,1,1,1
HSR18,6,2,12,14,cue22,correct,0.075183658,48.7,-0.075212812,1.10999989,within,1,2,1,1,1
HSR18,6,3,14,6,cue20,correct,0.464303441,75.4,0.567614113,0.671,across,3,3,1,1,1
HSR18,6,4,6,9,cue13,correct,0.830076203,42.6,-0.83022949,2.7290001,within,1,2,1,1,1
HSR18,6,5,9,2,cue8,correct,0.513325378,90.4,-0.333585245,10.44000006,across,3,4,1,1,1
HSR18,6,6,2,8,cue18,correct,0.40209437,65.6,0.581968512,3.1960001,across,3,3,1,1,1
HSR18,6,7,8,3,cue15,correct,0.11806882,45.4,0.297826287,3.36999988,across,3,2,1,1,1
HSR18,6,8,3,8,cue18,correct,0.317989969,45.6,0.497826287,0.45000005,across,3,2,1,1,1
HSR18,6,9,8,1,cue4,correct,0.107535929,67.1,-0.107592153,6.7340002,across,2,3,1,1,1
HSR18,6,10,1,4,cue2,correct,0.139713579,42.6,-0.139662073,2.02399993,within,1,2,1,1,1
HSR19,5,1,3,1,cue4,incorrect,19.38722445,117.6,67.04341151,3.153,within,1,2,0,0,0
HSR19,5,2,1,15,cue11,incorrect,20.47850742,95.8,7.005019683,2.2,across,2,4,1,0,0
HSR19,5,3,15,5,cue15,correct,1.046440778,70.65,-1.047143037,3.03,across,3,3,1,1,1
HSR19,5,4,5,2,cue3,correct,1.882233675,46.45,4.717069207,6.79,within,1,2,1,1,1
HSR19,5,5,2,11,cue12,correct,0.083544653,67.8,0.096307066,0.894,across,2,3,1,1,1
HSR19,5,6,11,13,cue6,correct,1.22114722,43.6,1.221575916,1.166,within,1,2,1,1,1
HSR19,5,7,13,10,cue7,incorrect,18.65954238,44.9,-23.5352369,1.72,across,3,3,0,0,0
HSR19,5,8,10,7,cue19,correct,1.518140627,40.8,-1.518138307,2.02,within,1,2,1,1,1
HSR19,5,9,7,10,cue7,tooLong,2.958366516,66.8,24.48186169,1.8,within,1,2,1,0,1
HSR19,5,10,10,4,cue20,correct,1.621624064,45.7,-1.518676928,1.66,across,2,2,1,1,1
HSR19,6,1,4,2,cue3,tooLong,1.804546104,176.7,132.2606956,1.428,within,1,2,0,0,1
HSR19,6,2,2,8,cue18,correct,3.500325433,69.8,3.694344628,6.694,across,3,3,1,1,1
HSR19,6,3,8,3,cue17,tooLong,1.523516517,75.3,36.03678526,1.73,across,3,2,0,0,1
HSR19,6,4,3,9,cue10,tooLong,0.69881341,85.4,20.39844213,4.363,across,3,3,1,1,1
HSR19,6,5,9,6,cue2,tooLong,1.239086717,64.3,17.76040715,6.184,within,1,2,1,0,1
HSR19,6,6,6,12,cue9,correct,2.928885385,54,2.30827995,1.87,across,3,3,1,1,1
HSR19,6,7,12,15,cue11,tooLong,0.979291047,62.5,13.90034021,6.331,within,1,2,1,0,1
HSR19,6,8,15,1,cue4,correct,1.88316304,91.6,1.884119683,1.25,across,3,4,1,1,1
HSR19,6,9,1,11,cue12,tooLong,1.13557993,107.5,42.792438,7.482,across,3,3,0,0,1
HSR19,6,10,11,13,cue6,correct,0.921463335,43.3,0.921575916,1.695,within,1,2,1,1,1
HSR20,5,1,1,11,cue15,correct,2.828045786,71.5,3.73922188,19.102,across,3,3,1,1,1
HSR20,5,2,11,5,cue5,correct,1.198359643,42.8,-1.199289408,7.05200005,across,3,2,1,1,1
HSR20,5,3,5,15,cue21,correct,1.915831419,69.6,2.837387892,10.4000001,across,3,3,1,1,1
HSR20,5,4,15,13,cue10,correct,1.015372279,47.2,1.015899073,6.45000005,within,1,2,1,1,1
HSR20,5,5,13,7,cue12,correct,2.164206669,58.6,4.687734666,3.40400004,across,3,3,1,1,1
HSR20,5,6,7,10,cue14,correct,2.202183259,46.7,2.203199795,7.01399994,within,1,2,1,1,1
HSR20,5,7,10,12,cue20,correct,3.084114499,66.2,-3.084996663,6.31900001,across,2,3,1,1,1
HSR20,5,8,12,6,cue13,correct,0.511234821,56.2,2.394364196,6.36299991,across,2,3,1,1,1
HSR20,5,9,6,8,cue11,correct,1.544847145,43.4,1.546228015,1.88900018,within,1,2,1,1,1
HSR20,5,10,8,14,cue19,correct,0.792413248,54,4.408522867,3.6309998,across,2,2,1,1,1
HSR20,6,1,14,4,cue16,correct,2.068616162,47.4,-2.047277449,2.58299995,across,2,2,1,1,1
